timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1579407630335,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-4,text,false,Test failed: code expected to match /200/,2037,0,1,1,0,0,1
1579407630336,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-4,text,false,Test failed: code expected to match /200/,2037,0,1,1,0,0,1
1579407630337,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-4,text,false,Test failed: code expected to match /200/,2037,0,1,1,0,0,1
1579407630338,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-4,text,false,Test failed: code expected to match /200/,2037,0,1,1,0,0,1
1579407630340,0,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-4,text,false,Test failed: code expected to match /200/,2037,0,1,1,0,0,0
1579407630341,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-4,text,false,Test failed: code expected to match /200/,2037,0,1,1,0,0,1
1579407630342,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-4,text,false,Test failed: code expected to match /200/,2037,0,1,1,0,0,1
1579407630430,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-5,text,false,Test failed: code expected to match /200/,2037,0,1,1,0,0,1
1579407630432,0,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-5,text,false,Test failed: code expected to match /200/,2037,0,1,1,0,0,0
1579407630433,0,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-5,text,false,Test failed: code expected to match /200/,2037,0,1,1,0,0,0
1579407630434,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-5,text,false,Test failed: code expected to match /200/,2037,0,1,1,0,0,0
1579407630435,0,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-5,text,false,Test failed: code expected to match /200/,2037,0,1,1,0,0,0
